Stkcd,Chgtype,Annoudt
533,DA,2004/3/25
535,AB,2001/3/6
535,BD,2004/4/29
535,AX,2005/9/22
536,AB,1999/4/28
536,BC,2001/5/9
536,CB,2002/6/21
536,BD,2004/4/22
536,DB,2005/4/28
536,BA,2009/4/7
537,AD,2004/4/30
537,DA,2005/5/18
540,AD,2006/4/24
540,DA,2007/6/7
542,AX,2004/1/13
544,AB,2002/4/30
544,BD,2003/4/30
544,DA,2004/4/2
545,AD,2007/4/13
545,DA,2008/4/10
545,AD,2011/4/27
545,DA,2013/7/26
546,AB,2000/4/20
546,BC,2001/5/9
546,CB,2002/8/1
546,BA,2006/5/19
548,AB,1998/4/28
548,BA,1999/5/31
549,AX,2007/4/25
550,AB,2000/6/2
550,BA,2001/4/11
552,AD,2004/4/29
552,DA,2006/6/22
555,AB,1999/4/28
555,BA,2001/3/24
555,AB,2003/4/14
555,BD,2004/4/29
555,DB,2005/6/6
555,BD,2007/4/3
555,DB,2008/7/18
555,BD,2013/4/26
555,DA,2014/3/18
557,AB,2002/4/30
557,BD,2005/3/22
557,DB,2006/5/8
557,BD,2010/9/29
557,DA,2016/5/5
558,AB,1998/4/28
558,BA,1999/5/26
560,AB,2002/4/17
560,BD,2003/10/29
560,DB,2004/4/5
560,BA,2007/6/7
561,AB,2003/4/16
561,BD,2003/4/30
561,DB,2007/1/23
561,BD,2007/11/23
561,DA,2010/12/7
566,AB,1999/4/28
566,BA,2000/4/29
566,AB,2002/4/19
566,BA,2005/3/18
569,AB,1998/6/8
569,BA,1999/6/8
569,AD,2007/4/14
569,DA,2008/7/15
569,AX,2009/5/5
570,AB,2003/4/10
570,BD,2003/4/30
570,DA,2004/4/2
571,AB,2002/3/29
571,BA,2004/3/30
572,AB,2002/4/17
572,BD,2003/4/30
572,DB,2004/2/23
572,BA,2005/4/1
576,AD,2009/4/20
576,DB,2010/5/17
576,BD,2012/2/28
576,DA,2013/4/12
578,AD,2006/5/8
578,DB,2008/1/15
578,BA,2009/4/9
578,AX,2011/3/21
583,AB,2004/8/3
583,BD,2005/4/22
583,AX,2007/5/18
585,AB,2000/4/29
585,BA,2006/4/20
585,AD,2009/3/31
585,DA,2010/4/13
585,AD,2012/3/30
585,DA,2013/4/18
585,AD,2018/3/30
586,AB,2002/4/5
586,BA,2004/2/24
586,AD,2009/4/27
586,DB,2010/5/5
586,BA,2011/7/20
587,AD,2004/4/23
587,DB,2005/7/27
587,BD,2007/4/30
587,DB,2008/12/9
587,BD,2009/11/10
587,DB,2011/10/27
587,BA,2012/9/7
590,AD,2015/4/30
590,DA,2016/4/11
592,AB,2000/4/29
592,BD,2005/4/26
592,DB,2008/4/3
592,BA,2009/5/11
594,AB,2002/7/1
594,BA,2004/10/28
594,AD,2013/4/26
594,TX,2015/7/13
594,DT,2015/5/23
595,AD,2011/4/19
595,DA,2013/4/2
595,AD,2017/3/28
595,DA,2018/5/17
596,AD,2005/6/29
596,DB,2006/5/12
596,BA,2007/3/19
598,AD,2010/3/9
598,DA,2010/6/7
602,AB,2000/5/10
602,BA,2002/3/26
602,AD,2011/2/17
602,DA,2012/4/13
602,AX,2013/8/14
603,AB,2002/4/23
603,BD,2006/3/31
603,DB,2011/10/27
603,BA,2012/5/7
605,AD,2007/4/27
605,DB,2008/8/18
605,BD,2012/3/9
605,DA,2013/3/21
606,AD,2016/3/31
606,DA,2017/3/13
607,AB,1999/4/21
607,BA,2000/3/22
607,AD,2011/4/18
607,DA,2012/6/26
611,AD,2015/4/29
611,DA,2017/6/7
613,AB,1999/4/30
613,BC,2001/4/21
613,CB,2002/10/12
613,BD,2005/4/13
613,DB,2007/3/21
613,BA,2013/5/24
613,AD,2017/3/31
613,DA,2018/3/14
618,AB,2002/4/23
618,BD,2003/9/18
618,DB,2004/4/29
618,BA,2005/3/25
618,AX,2006/2/18
620,AB,2002/4/27
620,BD,2003/4/30
620,DB,2004/5/13
620,BD,2005/10/31
620,DA,2011/7/1
621,AB,2003/4/26
621,BD,2003/4/30
621,AX,2004/9/24
622,AD,2005/4/20
622,DA,2013/5/23
622,AD,2016/4/28
622,DA,2017/5/3
628,AD,2008/4/21
628,DA,2009/5/11
629,AD,2010/4/27
629,DA,2011/3/25
629,AD,2016/4/29
629,DA,2018/8/16
631,AD,2005/4/29
631,DA,2009/5/27
632,AD,2006/4/28
632,DA,2007/5/10
633,AD,2006/4/24
633,DB,2007/5/24
633,BA,2013/5/10
633,AD,2016/4/26
633,DA,2017/5/17
635,AB,2003/4/14
635,BD,2003/4/30
635,DA,2004/3/25
638,AB,2002/4/24
638,BD,2003/4/30
638,DA,2009/5/26
639,AB,1999/4/29
639,BA,2000/3/21
650,AD,2005/3/25
650,DB,2007/3/28
650,BA,2008/2/25
653,AB,2000/2/18
653,AX,2002/9/13
655,AD,2006/4/28
655,DA,2007/2/9
655,AD,2018/4/12
656,AB,2002/4/25
656,BD,2006/4/27
656,DB,2007/6/5
656,BA,2011/8/22
657,AD,2008/4/23
657,DA,2013/11/22
658,AB,2000/5/9
658,AX,2002/9/20
659,AD,2014/4/30
659,DA,2016/4/26
659,AD,2017/4/29
659,DA,2018/4/24
660,AD,2003/4/30
660,AX,2004/9/9
662,AB,2001/3/27
662,BA,2002/3/29
662,AD,2012/4/20
662,DA,2013/5/28
669,AB,1998/5/15
669,BA,2000/3/27
669,AD,2012/3/19
669,DA,2013/1/11
670,AD,2003/4/30
670,DA,2004/4/2
670,AD,2006/4/24
670,DA,2013/5/17
670,AD,2016/4/29
670,DA,2017/3/29
672,AD,2006/4/27
672,DA,2013/4/25
673,AD,2007/4/2
673,DB,2008/7/17
673,DB,2011/6/21
673,BA,2013/5/17
675,AB,2001/2/20
675,AX,2002/8/21
676,AD,2010/4/26
676,DB,2011/11/9
676,BD,2013/4/23
676,DA,2014/5/9
677,AB,2011/9/2
677,BD,2012/4/20
677,DA,2013/7/2
677,AD,2015/3/11
677,DA,2016/3/24
678,AB,2002/3/26
678,BD,2003/10/25
678,DB,2004/2/26
678,BA,2005/4/25
681,AB,2007/4/30
681,BD,2008/4/29
681,DA,2013/8/16
682,AB,2002/4/30
682,BA,2004/4/23
683,AD,2005/4/21
683,DA,2006/6/9
688,AD,2006/5/25
688,DA,2013/4/19
689,AB,2000/4/27
689,AX,2002/9/5
691,AB,2004/4/28
691,BD,2005/4/26
691,DB,2006/8/18
691,BD,2009/2/25
691,DA,2012/6/21
691,AB,2016/4/30
691,BA,2017/11/28
692,AD,2007/4/16
692,DB,2008/3/25
692,BA,2010/4/22
693,AD,2006/4/28
693,DA,2014/1/6
693,AB,2016/4/30
693,BD,2017/4/28
695,AB,2003/2/17
695,BD,2003/4/30
695,DA,2005/4/4
697,AD,2009/4/9
697,DA,2012/7/24
699,AB,2002/4/24
699,BD,2005/4/26
699,AX,2007/3/16
703,AD,2010/3/5
703,DB,2011/4/18
703,BA,2011/6/7
707,AD,2018/4/27
710,AB,2003/3/17
710,BD,2003/4/30
710,DB,2004/3/30
710,BA,2007/4/10
710,AD,2017/2/28
710,DA,2017/8/25
711,AD,2015/3/10
711,DA,2016/2/15
716,AD,2007/4/30
716,DB,2008/4/9
716,BD,2010/4/27
716,DA,2011/10/26
717,AD,2013/2/4
717,DA,2014/3/21
717,AD,2016/4/20
717,DA,2017/3/31
718,AB,2003/4/23
718,BD,2004/4/20
718,DB,2006/3/16
718,BA,2007/3/29
719,AB,2005/11/11
719,BD,2007/4/30
719,DA,2011/11/25
720,AD,2009/4/26
720,DB,2010/5/13
720,BD,2012/4/20
720,DA,2013/5/16
720,AD,2018/4/20
722,AD,2008/4/15
722,DA,2012/6/6
723,AB,2002/4/9
723,BA,2003/4/15
725,AD,2007/4/27
725,DA,2008/4/17
730,AD,2003/4/30
730,AX,2004/9/22
732,AD,2006/6/8
732,DB,2010/9/21
732,BA,2011/5/27
735,AD,2007/4/25
735,DA,2008/5/26
736,AB,2004/7/23
736,BD,2006/4/28
736,DB,2007/11/9
736,BA,2011/4/6
737,AD,2011/4/22
737,DA,2012/5/21
737,AD,2018/2/13
738,AB,2002/4/29
738,BA,2004/4/26
738,AD,2006/4/27
738,BA,2010/10/14
748,AD,2006/3/30
748,DA,2007/4/3
748,AX,2017/1/13
751,AD,2009/4/15
751,DA,2010/5/21
751,AD,2012/4/25
751,DA,2014/7/30
755,AD,2014/3/25
755,DA,2015/5/6
755,AD,2017/3/28
755,DA,2018/11/13
757,AD,2006/4/21
757,DA,2013/4/18
760,AD,2005/4/12
760,DA,2006/7/3
760,AD,2010/4/26
760,DA,2011/8/4
761,AB,2003/6/26
761,BA,2004/4/30
763,AX,2005/12/31
765,AB,2003/4/25
765,BD,2003/4/25
765,AX,2005/7/1
766,AB,2004/4/12
766,BD,2005/4/4
766,DA,2006/8/3
767,AD,2012/4/26
767,DA,2013/4/24
769,AD,2004/4/27
769,AX,2005/9/22
779,AD,2006/4/20
779,DB,2007/3/29
779,BA,2009/12/30
779,AD,2014/4/17
779,DA,2015/3/27
780,AD,2006/10/31
780,DB,2007/7/2
780,BA,2009/3/24
780,AD,2017/4/21
780,DA,2018/5/10
787,AD,2006/5/8
787,SX,2013/2/7
788,AB,2001/4/17
788,BA,2005/3/3
789,AD,2006/4/21
789,DA,2007/4/4
791,AD,2005/4/27
791,DB,2006/5/11
791,BA,2007/3/7
799,AD,2004/4/29
799,DA,2005/3/10
799,AD,2007/4/26
799,DA,2008/4/8
799,AD,2015/4/24
799,DA,2016/4/22
801,AB,2003/3/25
801,BD,2003/4/30
801,DB,2004/3/19
801,BA,2006/6/29
802,AD,2004/3/29
802,DB,2005/4/5
802,BA,2006/4/12
803,AD,2017/3/17
803,DA,2018/10/26
805,AB,2004/6/16
805,BD,2005/4/13
805,SX,2013/3/26
806,AD,2012/4/25
806,DA,2013/5/2
809,AB,2003/2/21
809,BD,2003/4/30
809,DB,2004/4/1
809,BA,2005/4/1
809,AD,2017/4/25
809,DA,2018/6/8
813,AD,2005/4/10
813,DA,2006/3/15
815,AD,2012/4/23
815,DA,2013/12/30
815,AD,2015/4/15
815,DA,2016/3/24
816,AD,2004/4/23
816,DA,2005/4/21
816,AD,2018/4/26
817,AX,2005/12/31
818,AB,2009/12/1
818,BD,2010/3/22
818,DB,2011/9/29
818,BA,2012/3/12
820,AD,2006/4/28
820,DA,2007/5/30
820,AD,2010/4/15
820,DA,2013/6/18
822,AD,2014/2/15
822,DA,2015/3/23
826,AB,2002/4/22
826,BD,2003/10/29
826,DA,2004/4/16
827,AD,2004/1/14
827,AX,2005/9/20
831,AD,2010/4/20
831,DA,2013/4/22
831,AD,2016/4/8
831,DA,2017/5/2
832,AD,2004/4/29
832,AX,2006/6/28
